2018-12-05 12:41:42 64 bytes from 8.8.8.8: icmp_seq=178 ttl=118 time=31.1 ms
2018-12-05 12:41:43 64 bytes from 8.8.8.8: icmp_seq=179 ttl=118 time=31.8 ms
2018-12-05 12:41:44 64 bytes from 8.8.8.8: icmp_seq=180 ttl=118 time=56.3 ms
2018-12-05 12:41:45 64 bytes from 8.8.8.8: icmp_seq=181 ttl=118 time=32.0 ms
2018-12-05 12:41:46 64 bytes from 8.8.8.8: icmp_seq=182 ttl=118 time=32.5 ms
2018-12-05 12:41:47 64 bytes from 8.8.8.8: icmp_seq=183 ttl=118 time=41.4 ms
2018-12-05 12:41:48 64 bytes from 8.8.8.8: icmp_seq=184 ttl=118 time=36.8 ms
2018-12-05 12:41:49 64 bytes from 8.8.8.8: icmp_seq=185 ttl=118 time=91.3 ms
2018-12-05 12:41:50 64 bytes from 8.8.8.8: icmp_seq=186 ttl=118 time=108 ms
2018-12-05 12:41:51 64 bytes from 8.8.8.8: icmp_seq=187 ttl=118 time=254 ms
2018-12-05 12:41:52 64 bytes from 8.8.8.8: icmp_seq=188 ttl=118 time=51.1 ms
2018-12-05 12:41:54 64 bytes from 8.8.8.8: icmp_seq=189 ttl=118 time=408 ms
2018-12-05 12:41:54 64 bytes from 8.8.8.8: icmp_seq=190 ttl=118 time=80.0 ms
2018-12-05 12:41:55 64 bytes from 8.8.8.8: icmp_seq=191 ttl=118 time=37.6 ms
2018-12-05 12:41:56 64 bytes from 8.8.8.8: icmp_seq=192 ttl=118 time=31.3 ms
2018-12-05 12:41:57 64 bytes from 8.8.8.8: icmp_seq=193 ttl=118 time=33.1 ms
2018-12-05 12:41:58 64 bytes from 8.8.8.8: icmp_seq=194 ttl=118 time=38.9 ms
2018-12-05 12:41:59 64 bytes from 8.8.8.8: icmp_seq=195 ttl=118 time=58.8 ms
2018-12-05 12:42:00 64 bytes from 8.8.8.8: icmp_seq=196 ttl=118 time=34.1 ms
2018-12-05 12:42:01 64 bytes from 8.8.8.8: icmp_seq=197 ttl=118 time=44.7 ms
2018-12-05 12:42:02 64 bytes from 8.8.8.8: icmp_seq=198 ttl=118 time=58.0 ms
2018-12-05 12:42:03 64 bytes from 8.8.8.8: icmp_seq=199 ttl=118 time=30.6 ms
2018-12-05 12:42:04 64 bytes from 8.8.8.8: icmp_seq=200 ttl=118 time=43.8 ms
2018-12-05 12:42:04 --- 8.8.8.8 ping statistics ---
2018-12-05 12:42:04 200 packets transmitted, 200 received, 0% packet loss, time 199294ms
2018-12-05 12:42:04 rtt min/avg/max/mdev = 27.229/49.613/408.215/42.539 ms
